LAST SEEN   TYPE      REASON                  OBJECT                                    MESSAGE
24m         Normal    SuccessfulCreate        statefulset/webnote                       Create Pod webnote-2 in StatefulSet webnote successful
24m         Normal    Started                 pod/webnote-2                             Container started
24m         Normal    Pulled                  pod/webnote-2                             Container image "nginx:1.30-alpine" already present on machine and can be accessed by the pod
24m         Normal    Started                 pod/webnote-2                             Container started
24m         Normal    Created                 pod/webnote-2                             Container created
24m         Normal    Pulled                  pod/webnote-2                             Container image "busybox:1.37" already present on machine and can be accessed by the pod
24m         Normal    Scheduled               pod/webnote-2                             Successfully assigned dso202-practical-02/webnote-2 to worker-node-2
14m         Normal    Killing                 pod/webnote-2                             Stopping container nginx
14m         Normal    Killing                 pod/webnote-1                             Stopping container nginx
14m         Normal    Killing                 pod/webnote-0                             Stopping container nginx
12m         Normal    SuccessfulCreate        statefulset/webnote                       Create Pod webnote-0 in StatefulSet webnote successful
12m         Normal    Scheduled               pod/webnote-0                             Successfully assigned dso202-practical-02/webnote-0 to worker-node-1
12m         Normal    Pulled                  pod/webnote-0                             Container image "busybox:1.37" already present on machine and can be accessed by the pod
12m         Normal    Created                 pod/webnote-0                             Container created
12m         Normal    Started                 pod/webnote-0                             Container started
12m         Normal    Created                 pod/webnote-0                             Container created
12m         Normal    Started                 pod/webnote-0                             Container started
12m         Normal    Pulled                  pod/webnote-0                             Container image "nginx:1.30-alpine" already present on machine and can be accessed by the pod
12m         Normal    Started                 pod/webnote-1                             Container started
12m         Normal    Created                 pod/webnote-1                             Container created
12m         Normal    Scheduled               pod/webnote-1                             Successfully assigned dso202-practical-02/webnote-1 to worker-node-2
12m         Normal    SuccessfulCreate        statefulset/webnote                       Create Pod webnote-1 in StatefulSet webnote successful
12m         Normal    Pulled                  pod/webnote-1                             Container image "busybox:1.37" already present on machine and can be accessed by the pod
12m         Normal    Pulled                  pod/webnote-1                             Container image "nginx:1.30-alpine" already present on machine and can be accessed by the pod
12m         Normal    Created                 pod/webnote-1                             Container created
12m         Normal    Started                 pod/webnote-1                             Container started
12m         Normal    Scheduled               pod/webnote-2                             Successfully assigned dso202-practical-02/webnote-2 to worker-node-2
12m         Normal    Pulled                  pod/webnote-2                             Container image "busybox:1.37" already present on machine and can be accessed by the pod
12m         Normal    Created                 pod/webnote-2                             Container created
12m         Normal    Started                 pod/webnote-2                             Container started
12m         Normal    SuccessfulCreate        statefulset/webnote                       Create Pod webnote-2 in StatefulSet webnote successful
12m         Normal    Created                 pod/webnote-2                             Container created
12m         Normal    Started                 pod/webnote-2                             Container started
12m         Normal    Pulled                  pod/webnote-2                             Container image "nginx:1.30-alpine" already present on machine and can be accessed by the pod
9m19s       Normal    Provisioning            persistentvolumeclaim/data-postgres-0     External provisioner is provisioning volume for claim "dso202-practical-02/data-postgres-0"
9m19s       Normal    SuccessfulCreate        statefulset/postgres                      Create Claim data-postgres-0 Pod postgres-0 in StatefulSet postgres success
9m19s       Normal    WaitForFirstConsumer    persistentvolumeclaim/data-postgres-0     waiting for first consumer to be created before binding
9m19s       Normal    ExternalProvisioning    persistentvolumeclaim/data-postgres-0     Waiting for a volume to be created either by the external provisioner 'rancher.io/local-path' or manually by the system administrator. If volume creation is delayed, please verify that the provisioner is running and correctly registered.
9m16s       Normal    ProvisioningSucceeded   persistentvolumeclaim/data-postgres-0     Successfully provisioned volume pvc-5dfc420a-369f-4c4c-b994-eefa8df1246e
9m15s       Normal    Scheduled               pod/postgres-0                            Successfully assigned dso202-practical-02/postgres-0 to worker-node-2
9m15s       Normal    Pulling                 pod/postgres-0                            Pulling image "postgres:18-alpine"
5m38s       Normal    Pulled                  pod/postgres-0                            Successfully pulled image "postgres:18-alpine" in 3m36.936s (3m36.936s including waiting). Image size: 117891692 bytes.
5m38s       Normal    Started                 pod/postgres-0                            Container started
5m38s       Normal    Created                 pod/postgres-0                            Container created
106s        Normal    SuccessfulCreate        statefulset/postgres                      Create Pod postgres-0 in StatefulSet postgres successful
106s        Normal    Scheduled               pod/postgres-0                            Successfully assigned dso202-practical-02/postgres-0 to worker-node-2
106s        Normal    Killing                 pod/postgres-0                            Stopping container postgres
105s        Normal    Started                 pod/postgres-0                            Container started
105s        Normal    Created                 pod/postgres-0                            Container created
105s        Normal    Pulled                  pod/postgres-0                            Container image "postgres:18-alpine" already present on machine and can be accessed by the pod
